Date,Hours,Time,Timepoint,Supplementation,Replicate,Starvation,Counts_Tech1,Counts_Tech2,Counts_Tech3,Counts_Tech4,Counts_DF,QY_Tech1,QY_Tech2,QY_Tech3,OD680_Tech1,OD680_Tech2,OD680_Tech3,OD720_Tech1,OD720_Tech2,OD720_Tech3,Nile_Red1,Nile_Red2,Nile_Red3,NR_DF,Bodipy_1,Bodipy_2,Bodipy_3,BD_DF,pH,Counts_Avg,QY_Avg,OD680_Avg,OD720_Avg,NR_Avg,Specific_NR,BD_Avg,Specific_BD,mM_NO3,mM_PO4,mM_SO4
28-Jun,96,10:00,RS7,Resupplementation,A,N,34,38,41,32,10,0.79,0.77,0.77,0.2805,0.2828,0.2831,0.1237,0.1238,0.1233,424,495,384,4,2127,2131,2119,2,8.21,4023750,0.776666667,0.282133333,0.1236,1055.333333,0.262276069,-1022.666667,-0.254157606,4.782209348,0.507366158,826.35
24-Jun,0,10:00,R,Replete,B,N,0,24,12,5,1,0.66,0.7,0.68,0.0305,0.0302,0.0302,0.0245,0.0261,0.0258,293,143,166,1,Nan,Nan,Nan,2,8.15,113775,0.68,0.0303,0.025466667,30.16666667,0.265143192,Nan,Nan,29.98062935,0.624968593,593.25
24-Jun,12,22:00,R,Replete,B,N,6,22,7,7,1,0.66,0.69,0.69,0.0387,0.0383,0.0381,0.027,0.027,0.0288,226,189,262,1,Nan,Nan,Nan,2,8.13,116550,0.68,0.038366667,0.0276,55.16666667,0.473330473,Nan,Nan,11.22116488,0.578698782,717.9375
25-Jun,24,10:00,R,Replete,B,N,160,133,134,154,1,0.79,0.79,0.78,0.1033,0.103,0.1017,0.064,0.0601,0.0562,1053,1047,1088,1,2513,2431,2427,2,8.2,1612275,0.786666667,0.102666667,0.0601,892.1666667,0.553358867,-360,-0.22328697,13.87363014,0.665454677,657.5625
25-Jun,36,22:00,R,Replete,B,N,310,314,348,329,1,0.75,0.75,0.77,0.2318,0.229,0.2299,0.0838,0.0824,0.0822,1020,986,968,2,2434,2568,2413,2,8.24,3610275,0.756666667,0.230233333,0.0828,1641.666667,0.45472067,-330.6666667,-0.091590437,10.58687971,0.775345477,710.0625
26-Jun,47.25,9:15,S1,Replete,B,N,39,43,35,62,10,0.77,0.75,0.76,0.34,0.355,0.34,0.1378,0.1323,0.1282,310,340,314,6,1969,2063,1978,2,8.25,4967250,0.76,0.345,0.132766667,905,0.182193367,-1267.333333,-0.255137819,9.241426313,0.669310495,753.6375
26-Jun,48.033,10:02,S2,Starvation,B,N,67,97,87,68,1,0.72,0.73,0.7,0.0828,0.0813,0.0848,0.032,0.0327,0.0327,213,249,243,2,2761,2829,2838,2,8.18,885225,0.716666667,0.082966667,0.032466667,129,0.145725663,344.6666667,0.389354872,-0.042411031,0.580626691,29.49625
26-Jun,48.2,10:12,S3,Starvation,B,N,72,73,67,65,1,0.72,0.71,0.68,0.071,0.0713,0.076,0.025,0.0263,0.0258,201,233,241,2,2315,2346,2165,2,8.14,768675,0.703333333,0.072766667,0.0257,109,0.141802452,-723.3333333,-0.941013215,-0.038566878,0.657743042,29.32125
26-Jun,48.5,10:30,S4,Starvation,B,N,81,76,101,72,1,0.72,0.7,0.7,0.0921,0.0928,0.0944,0.042,0.0426,0.0374,320,317,328,2,2460,2440,2362,2,8.16,915750,0.706666667,0.0931,0.040666667,302.3333333,0.33014833,-432.6666667,-0.472472472,0.005000184,0.561347603,28.805
26-Jun,49,11:00,S5,Starvation,B,N,81,90,62,89,1,0.72,0.71,0.68,0.1054,0.1036,0.104,0.0356,0.0359,0.0357,171,187,200,2,2231,2284,2240,2,8.14,893550,0.703333333,0.104333333,0.035733333,31,0.034693078,-770.6666667,-0.862477384,0.015251257,0.609545323,28.49875
26-Jun,54,16:00,S6,Starvation,B,N,80,86,64,93,1,0.73,0.73,0.73,0.112,0.1142,0.1147,0.0719,0.0695,0.0831,810,760,827,2,3063,3237,3043,2,8.13,896325,0.73,0.113633333,0.074833333,1257,1.402393105,954.6666667,1.065089858,-0.025112344,0.561347603,29.19875
26-Jun,60,22:00,S7,Starvation,B,N,118,135,154,135,1,0.69,0.69,0.69,0.1305,0.1313,0.1311,0.0875,0.0871,0.0868,2487,3174,2594,2,2394,2514,2500,2,8.15,1504050,0.69,0.130966667,0.087133333,5162.333333,3.432288377,-335.3333333,-0.222953581,0.009485029,0.621112775,28.63875
27-Jun,72,10:00,S8,Starvation,B,N,130,108,97,135,1,0.5,0.51,0.49,0.1477,0.1473,0.1467,0.0936,0.095,0.0946,725,872,823,4,2426,2632,2668,2,8.12,1304250,0.5,0.147233333,0.0944,2544.666667,1.95105744,-123.3333333,-0.094562648,0.02229887,0.634608137,29.1025
27-Jun,72.033,10:02,RS1,Resupplementation,B,N,45,51,55,41,1,0.51,0.47,0.46,0.1061,0.1061,0.1069,0.0844,0.0866,0.0876,643,572,759,2,2786,2676,2758,2,8.58,532800,0.48,0.106366667,0.0862,975,1.829954955,206,0.386636637,9.914153011,0.480375435,739.2
27-Jun,72.2,10:12,RS2,Resupplementation,B,N,86,63,65,95,1,0.46,0.46,0.45,0.1058,0.106,0.107,0.0849,0.0849,0.0838,1589,1768,1884,2,2482,2293,2361,2,8.53,857475,0.456666667,0.106266667,0.084533333,3153,3.677075133,-516.6666667,-0.602544292,10.49077589,0.520861519,716.3625
27-Jun,72.5,10:30,RS3,Resupplementation,B,N,79,86,114,71,1,0.46,0.44,0.43,0.1158,0.116,0.1147,0.0843,0.0849,0.0849,1240,1243,1232,2,2188,2068,2190,2,8.43,971250,0.443333333,0.1155,0.0847,2135.666667,2.198884599,-976.6666667,-1.005577006,11.89389158,0.607617414,685.9125
27-Jun,73,11:00,RS4,Resupplementation,B,N,46,45,59,47,1,0.47,0.46,0.48,0.077,0.0776,0.0767,0.0628,0.0634,0.0633,1076,1152,1224,2,2053,2085,2194,2,8.29,546675,0.47,0.0771,0.063166667,1960.333333,3.585920946,-1052.666667,-1.925580403,10.52921742,0.601833688,714.2625
27-Jun,78,16:00,RS5,Resupplementation,B,N,52,67,74,47,1,0.62,0.62,0.63,0.0854,0.0849,0.0853,0.0609,0.0535,0.0489,1711,1827,1846,2,2739,2867,2703,2,8.11,666000,0.623333333,0.0852,0.054433333,3248.333333,4.877377377,265.3333333,0.398398398,11.27882717,0.759922207,795.375
27-Jun,84,22:00,RS6,Resupplementation,B,N,69,80,56,85,1,0.78,0.78,0.78,0.1163,0.1161,0.1173,0.0544,0.054,0.0475,1282,1329,1292,2,2731,2569,2607,2,8.19,804750,0.78,0.116566667,0.051966667,2261,2.809568189,-2.666666667,-0.003313658,7.223246221,0.588338326,768.6
28-Jun,96,10:00,RS7,Resupplementation,B,N,24,46,38,25,10,0.76,0.76,0.76,0.25,0.2273,0.2276,0.0934,0.0971,0.0968,503,506,506,4,2042,2056,2091,2,8.21,3690750,0.76,0.234966667,0.095766667,1338,0.362527941,-1148,-0.31104789,4.090261888,0.543996424,814.0125
